"File Name","Condition","Temperature","Replicate"
"C0_R1_T40","Vehicle",40,1
"C0_R1_T43","Vehicle",43,1
"C0_R1_T46","Vehicle",46,1
"C0_R1_T49","Vehicle",49,1
"C0_R1_T52","Vehicle",52,1
"C0_R1_T55","Vehicle",55,1
"C0_R1_T58","Vehicle",58,1
"C0_R1_T61","Vehicle",61,1
"C0_R1_T64","Vehicle",64,1
"C0_R1_T67","Vehicle",67,1
"C0_R2_T40","Vehicle",40,2
"C0_R2_T43","Vehicle",43,2
"C0_R2_T46","Vehicle",46,2
"C0_R2_T49","Vehicle",49,2
"C0_R2_T52","Vehicle",52,2
"C0_R2_T55","Vehicle",55,2
"C0_R2_T58","Vehicle",58,2
"C0_R2_T61","Vehicle",61,2
"C0_R2_T64","Vehicle",64,2
"C0_R2_T67","Vehicle",67,2
"C20_R1_T40","Treatment",40,1
"C20_R1_T43","Treatment",43,1
"C20_R1_T46","Treatment",46,1
"C20_R1_T49","Treatment",49,1
"C20_R1_T52","Treatment",52,1
"C20_R1_T55","Treatment",55,1
"C20_R1_T58","Treatment",58,1
"C20_R1_T61","Treatment",61,1
"C20_R1_T64","Treatment",64,1
"C20_R1_T67","Treatment",67,1
"C20_R2_T40","Treatment",40,2
"C20_R2_T43","Treatment",43,2
"C20_R2_T46","Treatment",46,2
"C20_R2_T49","Treatment",49,2
"C20_R2_T52","Treatment",52,2
"C20_R2_T55","Treatment",55,2
"C20_R2_T58","Treatment",58,2
"C20_R2_T61","Treatment",61,2
"C20_R2_T64","Treatment",64,2
"C20_R2_T67","Treatment",67,2
