Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
F2Z5Z6	reviewed	DNA double-strand break repair helicase HerA (EC 5.6.2.3) (EC 5.6.2.4) (Bidirectional DNA 3'-5' and 5'-3' helicase HerA) (Helicase repair of Archaea)	herA P4 Saci_0053	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	495	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; helicase activity [GO:0004386]; DNA repair [GO:0006281]	DNA repair [GO:0006281]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; helicase activity [GO:0004386]	GO:0004386; GO:0005524; GO:0006281; GO:0016887
P11512	reviewed	DNA-directed RNA polymerase subunit Rpo1N (EC 2.7.7.6) (DNA-directed RNA polymerase subunit A) (DNA-directed RNA polymerase subunit A') (Rpo1')	rpo1N rpoA rpoA1 Saci_0692	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	880	cytoplasm [GO:0005737]; DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]	DNA-templated transcription [GO:0006351]	cytoplasm [GO:0005737]; DNA-directed RNA polymerase complex [GO:0000428]	DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]	GO:0000287; GO:0000428; GO:0003677; GO:0003899; GO:0005737; GO:0006351; GO:0008270
P11513	reviewed	DNA-directed RNA polymerase subunit Rpo2 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit B)	rpo2 rpoB rpoB' Saci_0693	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	1126	cytoplasm [GO:0005737]; DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]	DNA-templated transcription [GO:0006351]	cytoplasm [GO:0005737]; DNA-directed RNA polymerase complex [GO:0000428]	DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; zinc ion binding [GO:0008270]	GO:0000428; GO:0003677; GO:0003899; GO:0005737; GO:0006351; GO:0008270; GO:0032549
P39466	reviewed	DNA-directed RNA polymerase subunit Rpo7 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit E)	rpo7 rpoE Saci_0834	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	183	cytoplasm [GO:0005737]; DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; DNA-templated transcription [GO:0006351]; DNA-templated transcription initiation [GO:0006352]	DNA-templated transcription [GO:0006351]; DNA-templated transcription initiation [GO:0006352]	cytoplasm [GO:0005737]; DNA-directed RNA polymerase complex [GO:0000428]	DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]	GO:0000428; GO:0003677; GO:0003899; GO:0005737; GO:0006351; GO:0006352
P39471	reviewed	DNA-directed RNA polymerase subunit Rpo3 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit D)	rpo3 rpoD Saci_0083	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	264	cytoplasm [GO:0005737]; DNA-directed RNA polymerase complex [GO:0000428]; 3 iron, 4 sulfur cluster binding [GO:0051538]; DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]; DNA-templated transcription [GO:0006351]	DNA-templated transcription [GO:0006351]	cytoplasm [GO:0005737]; DNA-directed RNA polymerase complex [GO:0000428]	3 iron, 4 sulfur cluster binding [GO:0051538]; DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]	GO:0000428; GO:0003677; GO:0003899; GO:0005737; GO:0006351; GO:0046872; GO:0046983; GO:0051538
P39481	reviewed	Quinol oxidase subunit 1/3 (EC 1.10.3.-) (Quinol oxidase polypeptide I/III)	soxM Saci_2263	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	788	plasma membrane [GO:0005886]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119]; respiratory electron transport chain [GO:0022904]	electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119]; respiratory electron transport chain [GO:0022904]	plasma membrane [GO:0005886]	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0004129; GO:0005886; GO:0006119; GO:0015990; GO:0020037; GO:0022904; GO:0046872
P98004	reviewed	Quinol oxidase subunit 1 (EC 1.10.3.-) (Cytochrome aa3 subunit 1) (Oxidase aa(3) subunit 1) (Quinol oxidase polypeptide I)	soxB Saci_2088	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	517	plasma membrane [GO:0005886]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]	ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]	plasma membrane [GO:0005886]	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]	GO:0004129; GO:0005886; GO:0015990; GO:0016682; GO:0020037; GO:0042773; GO:0046872
Q08582	reviewed	Reverse gyrase 1 (EC 5.6.2.-)	rgy1 top-rg topR1 Saci_0839	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	1248	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; reverse gyrase activity [GO:0160097]; zinc ion binding [GO:0008270]; DNA topological change [GO:0006265]	DNA topological change [GO:0006265]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; reverse gyrase activity [GO:0160097]; zinc ion binding [GO:0008270]	GO:0003677; GO:0003918; GO:0005524; GO:0005737; GO:0006265; GO:0008270; GO:0016887; GO:0160097
Q4J6M3	reviewed	Glyceraldehyde dehydrogenase large chain (EC 1.2.99.8) (Glyceraldehyde dehydrogenase subunit A) (Glyceraldehyde dehydrogenase subunit alpha)	cutA Saci_2271	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	748	cytoplasm [GO:0005737]; glyceraldehyde oxidoreductase activity [GO:0043795]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]		cytoplasm [GO:0005737]	glyceraldehyde oxidoreductase activity [GO:0043795]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]	GO:0005506; GO:0005737; GO:0016903; GO:0043546; GO:0043795
Q4J9K4	reviewed	Serine/threonine-protein kinase ArnS (Ser/Thr protein kinase ArnS) (EC 2.7.11.1) (Archaellum regulatory network protein ArnS)	arnS Saci_1181	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	623	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]		cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005737; GO:0005886; GO:0106310
Q4J9L0	reviewed	Archaeal flagellar ATPase motor FlaI (EC 3.6.4.-)	flaI Saci_1173	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	513	archaeal-type flagellum [GO:0097589]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]		archaeal-type flagellum [GO:0097589]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]	GO:0005524; GO:0005886; GO:0016887; GO:0046872; GO:0097589
Q4JA33	reviewed	Digeranylgeranylglycerophospholipid reductase (DGGGPL reductase) (EC 1.3.-.-) (2,3-bis-O-geranylgeranylglyceryl phosphate reductase) (Geranylgeranyl diphosphate reductase) (GGPP reductase) (Geranylgeranyl reductase) (GGR)	Saci_0986	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	452	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]; glycerophospholipid metabolic process [GO:0006650]; phospholipid biosynthetic process [GO:0008654]	glycerophospholipid metabolic process [GO:0006650]; phospholipid biosynthetic process [GO:0008654]		oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]	GO:0006650; GO:0008654; GO:0016628
Q4JB16	reviewed	tRNA (cytidine-2'-O-)-methyltransferase TrmJ (EC 2.1.1.-) (tRNA (cytidine(32)-2'-O)-methyltransferase) (tRNA Cm32 methyltransferase)	trmJ Saci_0621	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	235	cytosol [GO:0005829]; RNA binding [GO:0003723]; tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase activity [GO:0160206]; tRNA nucleoside ribose methylation [GO:0002128]	tRNA nucleoside ribose methylation [GO:0002128]	cytosol [GO:0005829]	RNA binding [GO:0003723]; tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase activity [GO:0160206]	GO:0002128; GO:0003723; GO:0005829; GO:0160206
Q4JC35	reviewed	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.55)	Saci_0225	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	288	2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity [GO:0008674]; 2-dehydro-3-deoxy-phosphogluconate aldolase activity [GO:0008675]; 4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]			2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity [GO:0008674]; 2-dehydro-3-deoxy-phosphogluconate aldolase activity [GO:0008675]; 4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]	GO:0008674; GO:0008675; GO:0008840
Q4JC68	reviewed	ATP-dependent DNA helicase XPD (SaXPD) (EC 5.6.2.3) (DNA 5'-3' helicase XPD)	xpd Saci_0192	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	551	4 iron, 4 sulfur cluster binding [GO:0051539]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; DNA repair [GO:0006281]	DNA repair [GO:0006281]		4 iron, 4 sulfur cluster binding [GO:0051539]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0005524; GO:0006281; GO:0016887; GO:0043139; GO:0046872; GO:0051539
