"Accession","C20_R1_T40","C20_R1_T43","C20_R1_T46","C20_R1_T49","C20_R1_T52","C20_R1_T55","C20_R1_T58","C20_R1_T61","C20_R1_T64","C20_R1_T67","C20_R2_T40","C20_R2_T43","C20_R2_T46","C20_R2_T49","C20_R2_T52","C20_R2_T55","C20_R2_T58","C20_R2_T61","C20_R2_T64","C20_R2_T67","C0_R1_T40","C0_R1_T43","C0_R1_T46","C0_R1_T49","C0_R1_T52","C0_R1_T55","C0_R1_T58","C0_R1_T61","C0_R1_T64","C0_R1_T67","C0_R2_T40","C0_R2_T43","C0_R2_T46","C0_R2_T49","C0_R2_T52","C0_R2_T55","C0_R2_T58","C0_R2_T61","C0_R2_T64","C0_R2_T67"
"Q9NWB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999686866317176,0.93920115757495,0.884948936429513,0.751504004387225,0.621096388816682,0.417738040520925,0.324105245537204,0.321971131210339,0.280105092005406,0.19565500032803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9BVM4",0.999686866317176,0.957770903205022,0.896439203916226,0.841153362335021,0.651230217103531,0.274793416013099,0.127597613573551,0.0980488478785064,0.108421057373493,0.072937892527066,0.999686866317176,0.932944168588327,0.999232876418985,0.839235433870842,0.77586626748796,0.37241792834426,0.123764525096868,0.097466970242901,0.0887001965281166,0.0642140070069875,0.999686866317176,0.950576219966812,0.909982152629362,0.915452560877215,0.709819567490494,0.251798352061453,0.0536617194214498,0.0372235618551773,0.0337530252322318,0.0314922532012677,0.999686866317176,0.938387243743458,1.06900867117151,0.86807583612503,0.844774075886593,0.363421702120348,0.135522330546561,0.108921688191852,0.117717463541005,0.0993008181938786
"P01023",0.999686866317176,1.16378722838519,1.0796729376238,1.09726693874922,0.894207207518222,0.753074692422891,0.857359555067854,1.11433257599368,1.11390167605706,1.00938510306033,0.999686866317176,1.0771632136587,1.10581841890767,1.16306921951351,0.998968423527412,0.904050904632615,0.857702272350607,0.836879061409754,0.832174547838368,0.625424903409509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999686866317176,1.27571835883414,1.25794572393174,1.30148840843834,1.09444898748421,0.936360739593762,0.892632436044049,0.97569951058208,0.91520113491712,0.854030807396959
"A8K2U0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999686866317176,1.28769968665722,0.951126671255694,0.85721898185086,0.863573141982519,0.689065573944172,0.326717018419814,0.316543391573559,0.207217851636905,0.169979654476068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9NRG9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999686866317176,0.788262482132636,0.397023430485913,0.407491014546132,0.367778048958203,0.125225242023522,0.0891422169981028,0.106272706807077,0.0545739638659909,0.0639697548590701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q86V21",0.999686866317176,0.722262331329421,0.346042494499933,0.237004845028442,0.16786093283627,0.0802552239823314,0.0615379880267308,0.0643553907873693,0.0543921353183148,0.0545284827780098,0.999686866317176,0.825888290858961,0.430386462407645,0.265054728927022,0.185953855628615,0.0839206696951334,0.052660240336137,0.0462827692534384,0.0342037379394343,0.0294621754673806,0.999686866317176,0.937537299557808,0.437574250631653,0.371848419710098,0.235694722699523,0.104400874305199,0.0640480940033473,0.0531758893807734,0.0595729901446556,0.0507581442154642,0.999686866317176,0.879800911020085,0.427521296240312,0.256138274310313,0.15911146499314,0.0545959278138763,0.0397983411882819,0.0363143000974296,0.0345194495575619,0.0292369559850351
"Q2M2I8",0.999686866317176,1.01949261504748,0.951045378576247,0.885041994204718,0.801574974307835,0.674920029520901,0.693004665238532,0.781064144969456,0.453186377176682,0.116036361676808,0.999686866317176,1.0335022909787,0.95342682600821,0.887655873235765,0.79440017717585,0.689346481642665,0.687729078724986,0.64740518657383,0.411860026737074,0.158436921592699,0.999686866317176,1.06044863780262,0.963865406010895,0.749612893579166,0.320154894145662,0.131112026610809,0.0945798038782534,0.0709293003137315,0.0835059593335528,0.0747872593498403,0.999686866317176,1.00545576071241,0.940546675393432,0.728499192990944,0.369029279614372,0.194877323900626,0.161474133553968,0.151805212624491,0.147206810095292,0.125805595868477
"Q13685",0.999686866317176,0.987492627725549,0.987525267135402,0.858842903031987,0.788746596459462,0.659342409819805,0.526005710403795,0.28801871557807,0.209598098307282,0.159750804831092,0.999686866317176,0.946507339771907,0.943778466950904,0.955848950449033,0.810911394826022,0.636599493264834,0.499095014246782,0.283488022804766,0.190088581852967,0.134510752177363,0.999686866317176,1.07566908196806,0.973487726859643,0.92904778385227,0.755940710267519,0.660133808400936,0.518714822978939,0.302795506713885,0.211014285652895,0.154225890941944,0.999686866317176,0.953454529276827,0.946974095396055,0.920282744583954,0.808460823954201,0.678242207796803,0.505184150035367,0.28801871557807,0.198074094413497,0.150318874130364
"P49588",0.999686866317176,1.0538204115194,1.00556142429455,0.77928511869852,0.338465745008319,0.160297700985749,0.115652548780138,0.0964665054337578,0.0751737555063612,0.0613641516310723,0.999686866317176,0.935369449162213,0.950513101561321,0.684173524074757,0.342605826939016,0.175179295168888,0.100797678499331,0.074845832389482,0.0595446556556756,0.0494073658408251,0.999686866317176,1.06775909654903,1.11322548697386,0.983491684317136,0.463220968986717,0.2591981088397,0.184021136791499,0.13125680868764,0.128608879928748,0.105883271324023,0.999686866317176,1.028488822276,0.962678513103424,0.776550918786934,0.360251371667131,0.14835356112212,0.100458196199592,0.0751373389964946,0.0636741913068064,0.0491979017998002
"Q5JTZ9",0.999686866317176,0.782929662104306,0.430516443322551,0.270848867124417,0.17123547273718,0.0869193338949464,0.0759896646267201,0.0762115624184918,0.0692914724155604,0.0604952176353327,0.999686866317176,0.773011693488193,0.485306315130867,0.258637433958846,0.190151474914943,0.0908837450559816,0.0635311289758329,0.0513700755647776,0.0466619748050621,0.0424271444795875,0.999686866317176,0.822300530499326,0.351409205857766,0.297770600440736,0.201846870048326,0.0877272835166365,0.0606767577131645,0.0427269698862581,0.0534326920997889,0.0402274089010525,0.999686866317176,0.865108380059664,0.458803170272282,0.282511934232958,0.181373555077309,0.0688925904635238,0.0465777192456919,0.0363510133481852,0.037962937468795,0.0303740655441111
