Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
P27134	reviewed	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	ccaA icfA Synpcc7942_1447	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	272	carboxysome [GO:0031470]; carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]; carbon fixation [GO:0015977]; carbon utilization [GO:0015976]; photosynthesis [GO:0015979]	carbon fixation [GO:0015977]; carbon utilization [GO:0015976]; photosynthesis [GO:0015979]	carboxysome [GO:0031470]	carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]	GO:0004089; GO:0008270; GO:0015976; GO:0015977; GO:0015979; GO:0031470
P37278	reviewed	Calcium-transporting ATPase (EC 7.2.2.10) (Calcium pump)	pacL Synpcc7942_1082	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	926	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type calcium transporter activity [GO:0005388]; P-type sodium:potassium-exchanging transporter activity [GO:0005391]; intracellular potassium ion homeostasis [GO:0030007]; intracellular sodium ion homeostasis [GO:0006883]; potassium ion import across plasma membrane [GO:1990573]; proton transmembrane transport [GO:1902600]; sodium ion export across plasma membrane [GO:0036376]	intracellular potassium ion homeostasis [GO:0030007]; intracellular sodium ion homeostasis [GO:0006883]; potassium ion import across plasma membrane [GO:1990573]; proton transmembrane transport [GO:1902600]; sodium ion export across plasma membrane [GO:0036376]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type calcium transporter activity [GO:0005388]; P-type sodium:potassium-exchanging transporter activity [GO:0005391]	GO:0005388; GO:0005391; GO:0005524; GO:0005886; GO:0006883; GO:0016887; GO:0030007; GO:0036376; GO:0046872; GO:1902600; GO:1990573
P46204	reviewed	Carboxysome assembly protein CcmN (Carbon dioxide concentrating mechanism protein CcmN) (ORF I)	ccmN Synpcc7942_1424	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	161	carboxysome [GO:0031470]; structural constituent of carboxysome shell [GO:0043886]; carbon fixation [GO:0015977]; photosynthesis [GO:0015979]	carbon fixation [GO:0015977]; photosynthesis [GO:0015979]	carboxysome [GO:0031470]	structural constituent of carboxysome shell [GO:0043886]	GO:0015977; GO:0015979; GO:0031470; GO:0043886
Q03511	reviewed	Carboxysome shell protein CcmK2 (Carbon dioxide-concentrating mechanism protein CcmK2)	ccmK2 ccmK ccmK1 Synpcc7942_1421	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	102	carboxysome [GO:0031470]; structural constituent of carboxysome shell [GO:0043886]; carbon fixation [GO:0015977]; photosynthesis [GO:0015979]	carbon fixation [GO:0015977]; photosynthesis [GO:0015979]	carboxysome [GO:0031470]	structural constituent of carboxysome shell [GO:0043886]	GO:0015977; GO:0015979; GO:0031470; GO:0043886
Q03513	reviewed	Carboxysome assembly protein CcmM (CcmM58) (M58) (Carbon dioxide concentrating mechanism protein CcmM) (Carboxysome shell associated protein CcmM)	ccmM Synpcc7942_1423	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	539	carboxysome [GO:0031470]; structural constituent of carboxysome shell [GO:0043886]; carbon fixation [GO:0015977]; photosynthesis [GO:0015979]	carbon fixation [GO:0015977]; photosynthesis [GO:0015979]	carboxysome [GO:0031470]	structural constituent of carboxysome shell [GO:0043886]	GO:0015977; GO:0015979; GO:0031470; GO:0043886
Q06904	reviewed	Adaptive-response sensory kinase SasA (EC 2.7.13.3) (Sensor histidine kinase SasA) (Synechococcus adaptive sensor protein A) (SasA)	sasA sarS Synpcc7942_2114	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	387	ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; circadian regulation of translation [GO:0097167]; circadian rhythm [GO:0007623]	circadian regulation of translation [GO:0097167]; circadian rhythm [GO:0007623]		ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0005524; GO:0007623; GO:0097167
Q31MN3	reviewed	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	katG Synpcc7942_1656	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	720	cytosol [GO:0005829]; catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]	cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]	cytosol [GO:0005829]	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0004096; GO:0005829; GO:0020037; GO:0042744; GO:0046872; GO:0070301
Q31N04	reviewed	RuBisCO chaperone RbcX	rbcX Synpcc7942_1535	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	152	carboxysome [GO:0031470]; cytoplasm [GO:0005737]; protein folding chaperone [GO:0044183]; carbon fixation [GO:0015977]; photosynthesis [GO:0015979]; ribulose bisphosphate carboxylase complex assembly [GO:0110102]	carbon fixation [GO:0015977]; photosynthesis [GO:0015979]; ribulose bisphosphate carboxylase complex assembly [GO:0110102]	carboxysome [GO:0031470]; cytoplasm [GO:0005737]	protein folding chaperone [GO:0044183]	GO:0005737; GO:0015977; GO:0015979; GO:0031470; GO:0044183; GO:0110102
Q31NB3	reviewed	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	cbbL rbcL Synpcc7942_1426	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	472	carboxysome [GO:0031470]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	carboxysome [GO:0031470]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	GO:0000287; GO:0004497; GO:0009853; GO:0016984; GO:0019253; GO:0031470
Q31Q05	reviewed	RuBisCO accumulation factor 1	raf1 Synpcc7942_0833	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	356	cytoplasm [GO:0005737]; carbon fixation [GO:0015977]; photosynthesis [GO:0015979]; ribulose bisphosphate carboxylase complex assembly [GO:0110102]	carbon fixation [GO:0015977]; photosynthesis [GO:0015979]; ribulose bisphosphate carboxylase complex assembly [GO:0110102]	cytoplasm [GO:0005737]		GO:0005737; GO:0015977; GO:0015979; GO:0110102
