Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
D4GP31	reviewed	Pentonolactonase XacC (EC 3.1.1.15) (EC 3.1.1.68) (L-arabinonolactonase) (Xylono-1,4-lactonase)	xacC HVO_B0030	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	291	calcium ion binding [GO:0005509]; gluconolactonase activity [GO:0004341]; L-arabinonolactonase activity [GO:0050021]; xylono-1,4-lactonase activity [GO:0050402]; arabinose catabolic process [GO:0019568]; D-xylose metabolic process [GO:0042732]; L-ascorbic acid biosynthetic process [GO:0019853]	arabinose catabolic process [GO:0019568]; D-xylose metabolic process [GO:0042732]; L-ascorbic acid biosynthetic process [GO:0019853]		calcium ion binding [GO:0005509]; gluconolactonase activity [GO:0004341]; L-arabinonolactonase activity [GO:0050021]; xylono-1,4-lactonase activity [GO:0050402]	GO:0004341; GO:0005509; GO:0019568; GO:0019853; GO:0042732; GO:0050021; GO:0050402
D4GP33	reviewed	L-arabinose 1-dehydrogenase (NAD(P)(+)) (L-AraDH) (EC 1.1.1.376)	xacB HVO_B0032 C498_01595	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	254	L-arabinose 1-dehydrogenase (NAD+) activity [GO:0050022]; L-arabinose 1-dehydrogenase (NADP+) activity [GO:0044103]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; L-arabinose catabolic process [GO:0019572]; L-arabinose catabolic process to 2-oxoglutarate [GO:0019570]	L-arabinose catabolic process [GO:0019572]; L-arabinose catabolic process to 2-oxoglutarate [GO:0019570]		L-arabinose 1-dehydrogenase (NAD+) activity [GO:0050022]; L-arabinose 1-dehydrogenase (NADP+) activity [GO:0044103]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	GO:0016616; GO:0019570; GO:0019572; GO:0044103; GO:0050022
D4GPK6	reviewed	Laccase (EC 1.10.3.2) (LccA multicopper oxidase)	lccA HVO_B0205	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	579	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]		extracellular region [GO:0005576]	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	GO:0005507; GO:0005576; GO:0052716
D4GSD6	reviewed	Ketohexokinase (EC 2.7.1.3) (HvKHK)	khk HVO_1812	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	375	identical protein binding [GO:0042802]; ketohexokinase activity [GO:0004454]; protein homodimerization activity [GO:0042803]; fructose metabolic process [GO:0006000]	fructose metabolic process [GO:0006000]		identical protein binding [GO:0042802]; ketohexokinase activity [GO:0004454]; protein homodimerization activity [GO:0042803]	GO:0004454; GO:0006000; GO:0042802; GO:0042803
D4GSE6	reviewed	2-dehydro-3-deoxygluconokinase/2-dehydro-3-deoxygalactonokinase (2-dehydro-3-deoxyglucono/galactono-kinase) (EC 2.7.1.178) (2-keto-3-deoxygluconate/2-keto-3-deoxygalactonate kinase) (KDG kinase) (KDGK-1)	kdgK1 HVO_0549	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	320	2-dehydro-3-deoxygalactonokinase activity [GO:0008671]; 2-dehydro-3-deoxygluconokinase activity [GO:0008673]; ATP binding [GO:0005524]			2-dehydro-3-deoxygalactonokinase activity [GO:0008671]; 2-dehydro-3-deoxygluconokinase activity [GO:0008673]; ATP binding [GO:0005524]	GO:0005524; GO:0008671; GO:0008673
D4GSF3	reviewed	SAMP-activating enzyme E1 (EC 2.7.7.-) (Ubiquitin-like activating enzyme of archaea) (Ubl-activating enzyme)	ubaA HVO_0558	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	270	cytosol [GO:0005829]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleotidyltransferase activity [GO:0016779]; sulfotransferase activity [GO:0008146]; thiosulfate-cyanide sulfurtransferase activity [GO:0004792]; ubiquitin-like modifier activating enzyme activity [GO:0008641]		cytosol [GO:0005829]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleotidyltransferase activity [GO:0016779]; sulfotransferase activity [GO:0008146]; thiosulfate-cyanide sulfurtransferase activity [GO:0004792]; ubiquitin-like modifier activating enzyme activity [GO:0008641]	GO:0004792; GO:0005524; GO:0005829; GO:0008146; GO:0008641; GO:0016779; GO:0046872
D4GSH6	reviewed	tRNA 2-thiolation protein NcsA (N-type ATP pyrophosphatase superfamily protein) (tRNA adenylyltransferase NcsA) (EC 2.7.7.-)	ncsA tuc1 HVO_0580 C498_15825	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	321	cytosolic tRNA wobble base thiouridylase complex [GO:0002144]; CCA tRNA nucleotidyltransferase activity [GO:0004810]; enzyme binding [GO:0019899]; sulfurtransferase activity [GO:0016783]; tRNA binding [GO:0000049]; response to heat [GO:0009408]; tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation [GO:0002926]; tRNA wobble position uridine thiolation [GO:0002143]	response to heat [GO:0009408]; tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation [GO:0002926]; tRNA wobble position uridine thiolation [GO:0002143]	cytosolic tRNA wobble base thiouridylase complex [GO:0002144]	CCA tRNA nucleotidyltransferase activity [GO:0004810]; enzyme binding [GO:0019899]; sulfurtransferase activity [GO:0016783]; tRNA binding [GO:0000049]	GO:0000049; GO:0002143; GO:0002144; GO:0002926; GO:0004810; GO:0009408; GO:0016783; GO:0019899
D4GSH7	reviewed	Cell division protein FtsZ 2	ftsZ2 HVO_0581	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	400	cell division site [GO:0032153]; cytoplasm [GO:0005737]; cytoplasmic side of membrane [GO:0098562]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cell division [GO:0051301]; contractile ring contraction [GO:0036213]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]	cell division [GO:0051301]; contractile ring contraction [GO:0036213]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]	cell division site [GO:0032153]; cytoplasm [GO:0005737]; cytoplasmic side of membrane [GO:0098562]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0036213; GO:0043093; GO:0051258; GO:0051301; GO:0098562
D4GT97	reviewed	Inorganic pyrophosphatase (PPA) (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	ipp ppa HVO_0729	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	177	cytoplasm [GO:0005737]; inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]; phosphate-containing compound metabolic process [GO:0006796]	phosphate-containing compound metabolic process [GO:0006796]	cytoplasm [GO:0005737]	inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0004427; GO:0005737; GO:0006796
D4GTL2	reviewed	Malate synthase (MSH) (EC 2.3.3.9)	aceB aceB1 HVO_1983 C498_05196	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	433	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; malate synthase activity [GO:0004474]; metal ion binding [GO:0046872]; glyoxylate cycle [GO:0006097]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099]	glyoxylate cycle [GO:0006097]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099]	cytoplasm [GO:0005737]	magnesium ion binding [GO:0000287]; malate synthase activity [GO:0004474]; metal ion binding [GO:0046872]	GO:0000287; GO:0004474; GO:0005737; GO:0006097; GO:0006099; GO:0006107; GO:0046872
D4GTL3	reviewed	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)	aceA HVO_1984 C498_05201	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	345	isocitrate lyase activity [GO:0004451]; metal ion binding [GO:0046872]; glyoxylate cycle [GO:0006097]	glyoxylate cycle [GO:0006097]		isocitrate lyase activity [GO:0004451]; metal ion binding [GO:0046872]	GO:0004451; GO:0006097; GO:0046872
D4GTS4	reviewed	Desampylase (EC 3.4.19.15) (HvJAMM1)	HVO_2505 C498_07813	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	139	metalloexopeptidase activity [GO:0008235]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]	proteolysis [GO:0006508]		metalloexopeptidase activity [GO:0008235]; zinc ion binding [GO:0008270]	GO:0006508; GO:0008235; GO:0008270
D4GU92	reviewed	Isocitrate dehydrogenase [NADP] (ICDH) (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	icd icdh HVO_2588 C498_08220	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	419	isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]	glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]		isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]	GO:0000287; GO:0004450; GO:0006097; GO:0006099; GO:0051287
D4GUA0	reviewed	Glycosyltransferase AglD (EC 2.4.1.-) (Archaeal glycosylation protein D)	aglD HVO_0798	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	624	plasma membrane [GO:0005886]; glycosyltransferase activity [GO:0016757]; protein N-linked glycosylation [GO:0006487]; S-layer organization [GO:0045232]	protein N-linked glycosylation [GO:0006487]; S-layer organization [GO:0045232]	plasma membrane [GO:0005886]	glycosyltransferase activity [GO:0016757]	GO:0005886; GO:0006487; GO:0016757; GO:0045232
D4GUJ7	reviewed	Proteasome-activating nucleotidase 1 (PAN 1) (Proteasomal ATPase 1) (Proteasome regulatory ATPase 1) (Proteasome regulatory particle 1)	pan1 panA HVO_0850	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	406	cytoplasm [GO:0005737]; proteasome-activating nucleotidase complex [GO:0022623]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proteasomal protein catabolic process [GO:0010498]; protein unfolding [GO:0043335]	proteasomal protein catabolic process [GO:0010498]; protein unfolding [GO:0043335]	cytoplasm [GO:0005737]; proteasome-activating nucleotidase complex [GO:0022623]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0005737; GO:0010498; GO:0016887; GO:0022623; GO:0043335
