Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
A0A2S5SZM9	unreviewed	Transposase	C1702_18205	Caldimonas thermodepolymerans	92	DNA binding [GO:0003677]; transposase activity [GO:0004803]; DNA transposition [GO:0006313]	DNA transposition [GO:0006313]		DNA binding [GO:0003677]; transposase activity [GO:0004803]	GO:0003677; GO:0004803; GO:0006313
A0A2S5SZN8	unreviewed	Methyl-accepting transducer domain-containing protein	C1702_18185	Caldimonas thermodepolymerans	145	plasma membrane [GO:0005886]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	plasma membrane [GO:0005886]	transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005886; GO:0006935; GO:0007165
A0A2S5SZP0	unreviewed	Chemotaxis protein CheW	C1702_18155	Caldimonas thermodepolymerans	158	cytosol [GO:0005829]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	cytosol [GO:0005829]		GO:0005829; GO:0006935; GO:0007165
A0A2S5SZP6	unreviewed	ISL3 family transposase	C1702_18210	Caldimonas thermodepolymerans	183					
A0A2S5SZP8	unreviewed	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE C1702_18135 EV676_1205	Caldimonas thermodepolymerans	765	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]	methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]		5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]	GO:0003871; GO:0008270; GO:0009086; GO:0032259
A0A2S5SZQ0	unreviewed	DUF262 domain-containing protein	C1702_18065	Caldimonas thermodepolymerans	727					
A0A2S5SZQ8	unreviewed	Capsule biosynthesis protein	C1702_18005	Caldimonas thermodepolymerans	461	polysaccharide biosynthetic process [GO:0000271]; polysaccharide transport [GO:0015774]	polysaccharide biosynthetic process [GO:0000271]; polysaccharide transport [GO:0015774]			GO:0000271; GO:0015774
A0A2S5SZQ9	unreviewed	Methyl-accepting chemotaxis protein	C1702_18145	Caldimonas thermodepolymerans	94					
A0A2S5SZR0	unreviewed	Uncharacterized protein	C1702_18080	Caldimonas thermodepolymerans	72					
A0A2S5SZR3	unreviewed	N-acetyltransferase domain-containing protein	C1702_18015	Caldimonas thermodepolymerans	202	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]			acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	GO:0016747
A0A2S5SZR4	unreviewed	VWA domain-containing protein	C1702_17970	Caldimonas thermodepolymerans	587					
A0A2S5SZR5	unreviewed	NYN domain-containing protein	C1702_18120	Caldimonas thermodepolymerans	124	RNA nuclease activity [GO:0004540]			RNA nuclease activity [GO:0004540]	GO:0004540
A0A2S5SZR6	unreviewed	MBG domain-containing protein	C1702_18195	Caldimonas thermodepolymerans	798					
A0A2S5SZS1	unreviewed	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)	kynU C1702_17980	Caldimonas thermodepolymerans	423	cytoplasm [GO:0005737]; kynureninase activity [GO:0030429]; pyridoxal phosphate binding [GO:0030170]; anthranilate metabolic process [GO:0043420]; L-kynurenine catabolic process [GO:0097053]; L-tryptophan catabolic process to kynurenine [GO:0019441]; NAD+ biosynthetic process [GO:0009435]; quinolinate biosynthetic process [GO:0019805]	anthranilate metabolic process [GO:0043420]; L-kynurenine catabolic process [GO:0097053]; L-tryptophan catabolic process to kynurenine [GO:0019441]; NAD+ biosynthetic process [GO:0009435]; quinolinate biosynthetic process [GO:0019805]	cytoplasm [GO:0005737]	kynureninase activity [GO:0030429]; pyridoxal phosphate binding [GO:0030170]	GO:0005737; GO:0009435; GO:0019441; GO:0019805; GO:0030170; GO:0030429; GO:0043420; GO:0097053
A0A2S5SZS3	unreviewed	Recombinase	C1702_17880 EV676_10415	Caldimonas thermodepolymerans	687	membrane [GO:0016020]		membrane [GO:0016020]		GO:0016020
A0A2S5SZS4	unreviewed	Methyl-accepting chemotaxis protein	C1702_18160	Caldimonas thermodepolymerans	328	plasma membrane [GO:0005886]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	plasma membrane [GO:0005886]	transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005886; GO:0006935; GO:0007165
A0A2S5SZS5	unreviewed	Non-ribosomal peptide synthetase	C1702_18050	Caldimonas thermodepolymerans	2210	cytoplasm [GO:0005737]; catalytic activity [GO:0003824]; phosphopantetheine binding [GO:0031177]; Actinobacterium-type cell wall biogenesis [GO:0071766]; amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; fatty acid metabolic process [GO:0006631]; lipid biosynthetic process [GO:0008610]; monocarboxylic acid biosynthetic process [GO:0072330]; secondary metabolite biosynthetic process [GO:0044550]	Actinobacterium-type cell wall biogenesis [GO:0071766]; amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; fatty acid metabolic process [GO:0006631]; lipid biosynthetic process [GO:0008610]; monocarboxylic acid biosynthetic process [GO:0072330]; secondary metabolite biosynthetic process [GO:0044550]	cytoplasm [GO:0005737]	catalytic activity [GO:0003824]; phosphopantetheine binding [GO:0031177]	GO:0003824; GO:0005737; GO:0006631; GO:0008610; GO:0031177; GO:0043041; GO:0044550; GO:0071766; GO:0072330
A0A2S5SZT1	unreviewed	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rpe C1702_17890 EV676_10413	Caldimonas thermodepolymerans	226	cytoplasm [GO:0005737]; D-ribulose-phosphate 3-epimerase activity [GO:0004750]; metal ion binding [GO:0046872]; pentose catabolic process [GO:0019323]; pentose-phosphate shunt [GO:0006098]; reductive pentose-phosphate cycle [GO:0019253]	pentose catabolic process [GO:0019323]; pentose-phosphate shunt [GO:0006098]; reductive pentose-phosphate cycle [GO:0019253]	cytoplasm [GO:0005737]	D-ribulose-phosphate 3-epimerase activity [GO:0004750]; metal ion binding [GO:0046872]	GO:0004750; GO:0005737; GO:0006098; GO:0019253; GO:0019323; GO:0046872
A0A2S5SZT3	unreviewed	2-polyprenyl-6-methoxyphenol hydroxylase-like FAD-dependent oxidoreductase (Flavin-dependent oxidoreductase)	C1702_17935 EV676_1044	Caldimonas thermodepolymerans	419	FAD binding [GO:0071949]; monooxygenase activity [GO:0004497]			FAD binding [GO:0071949]; monooxygenase activity [GO:0004497]	GO:0004497; GO:0071949
A0A2S5SZT5	unreviewed	Uncharacterized protein	C1702_18075	Caldimonas thermodepolymerans	68					
A0A2S5SZT6	unreviewed	DUF2784 domain-containing protein	C1702_17955 EV676_106145	Caldimonas thermodepolymerans	126	membrane [GO:0016020]		membrane [GO:0016020]		GO:0016020
A0A2S5SZT8	unreviewed	Chemotaxis protein	C1702_18190	Caldimonas thermodepolymerans	342	plasma membrane [GO:0005886]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	plasma membrane [GO:0005886]	transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005886; GO:0006935; GO:0007165
A0A2S5SZU1	unreviewed	Phytanoyl-CoA dioxygenase	C1702_17945	Caldimonas thermodepolymerans	282	dioxygenase activity [GO:0051213]			dioxygenase activity [GO:0051213]	GO:0051213
A0A2S5SZU2	unreviewed	Alanine acetyltransferase	C1702_17815 EV676_11354	Caldimonas thermodepolymerans	160	carbon-sulfur lyase activity [GO:0016846]; metal ion binding [GO:0046872]; transferase activity [GO:0016740]			carbon-sulfur lyase activity [GO:0016846]; metal ion binding [GO:0046872]; transferase activity [GO:0016740]	GO:0016740; GO:0016846; GO:0046872
A0A2S5SZU5	unreviewed	Uncharacterized protein	C1702_17870	Caldimonas thermodepolymerans	212					
A0A2S5SZU6	unreviewed	Exodeoxyribonuclease III (Exodeoxyribonuclease-3)	xth C1702_18010 EV676_1085	Caldimonas thermodepolymerans	263	DNA binding [GO:0003677]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; double-stranded DNA 3'-5' DNA exonuclease activity [GO:0008311]; metal ion binding [GO:0046872]; phosphoric diester hydrolase activity [GO:0008081]; base-excision repair [GO:0006284]	base-excision repair [GO:0006284]		DNA binding [GO:0003677]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; double-stranded DNA 3'-5' DNA exonuclease activity [GO:0008311]; metal ion binding [GO:0046872]; phosphoric diester hydrolase activity [GO:0008081]	GO:0003677; GO:0003906; GO:0006284; GO:0008081; GO:0008311; GO:0046872
A0A2S5SZU8	unreviewed	Methyl-accepting chemotaxis protein	C1702_18170	Caldimonas thermodepolymerans	330	plasma membrane [GO:0005886]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	plasma membrane [GO:0005886]	transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005886; GO:0006935; GO:0007165
