Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
P00363	reviewed	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)	frdA b4154 JW4115	Escherichia coli (strain K12)	602	cytosol [GO:0005829]; fumarate reductase complex [GO:0045283]; membrane [GO:0016020]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase (quinone) activity [GO:0008177]; succinate dehydrogenase activity [GO:0000104]; anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; bacterial-type flagellum assembly [GO:0044780]; DNA damage response [GO:0006974]; fermentation [GO:0006113]	anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; bacterial-type flagellum assembly [GO:0044780]; DNA damage response [GO:0006974]; fermentation [GO:0006113]	cytosol [GO:0005829]; fumarate reductase complex [GO:0045283]; membrane [GO:0016020]; plasma membrane [GO:0005886]	electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase (quinone) activity [GO:0008177]; succinate dehydrogenase activity [GO:0000104]	GO:0000104; GO:0005829; GO:0005886; GO:0006113; GO:0006974; GO:0008177; GO:0009055; GO:0009061; GO:0016020; GO:0019645; GO:0044780; GO:0045283; GO:0050660; GO:0071949
P00370	reviewed	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	gdhA b1761 JW1750	Escherichia coli (strain K12)	447	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamate dehydrogenase complex [GO:1990148]; glutamate dehydrogenase (NADP+) activity [GO:0004354]; guanosine tetraphosphate binding [GO:0097216]; identical protein binding [GO:0042802]; glutamate biosynthetic process [GO:0006537]; glutamate metabolic process [GO:0006536]	glutamate biosynthetic process [GO:0006537]; glutamate metabolic process [GO:0006536]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamate dehydrogenase complex [GO:1990148]	glutamate dehydrogenase (NADP+) activity [GO:0004354]; guanosine tetraphosphate binding [GO:0097216]; identical protein binding [GO:0042802]	GO:0004354; GO:0005737; GO:0005829; GO:0006536; GO:0006537; GO:0042802; GO:0097216; GO:1990148
P00393	reviewed	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)	ndh b1109 JW1095	Escherichia coli (strain K12)	434	NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; cupric reductase (NADH) activity [GO:0008823]; flavin adenine dinucleotide binding [GO:0050660]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; aerobic electron transport chain [GO:0019646]; aerobic respiration [GO:0009060]; anaerobic respiration [GO:0009061]; copper ion homeostasis [GO:0055070]	aerobic electron transport chain [GO:0019646]; aerobic respiration [GO:0009060]; anaerobic respiration [GO:0009061]; copper ion homeostasis [GO:0055070]	NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]	cupric reductase (NADH) activity [GO:0008823]; flavin adenine dinucleotide binding [GO:0050660]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]	GO:0005886; GO:0008137; GO:0008823; GO:0009060; GO:0009061; GO:0019646; GO:0030964; GO:0050136; GO:0050660; GO:0055070
P00448	reviewed	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	sodA b3908 JW3879	Escherichia coli (strain K12)	206	cytoplasm [GO:0005737]; cytosol [GO:0005829]; antioxidant activity [GO:0016209]; DNA binding [GO:0003677]; manganese ion binding [GO:0030145]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; superoxide dismutase activity [GO:0004784]; cellular response to selenium ion [GO:0071291]; removal of superoxide radicals [GO:0019430]; response to acidic pH [GO:0010447]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; superoxide metabolic process [GO:0006801]	cellular response to selenium ion [GO:0071291]; removal of superoxide radicals [GO:0019430]; response to acidic pH [GO:0010447]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; superoxide metabolic process [GO:0006801]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	antioxidant activity [GO:0016209]; DNA binding [GO:0003677]; manganese ion binding [GO:0030145]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; superoxide dismutase activity [GO:0004784]	GO:0003677; GO:0004784; GO:0005737; GO:0005829; GO:0006801; GO:0006979; GO:0009408; GO:0010447; GO:0016209; GO:0019430; GO:0030145; GO:0042803; GO:0046872; GO:0071291
P00452	reviewed	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	nrdA dnaF b2234 JW2228	Escherichia coli (strain K12)	761	cytosol [GO:0005829]; ribonucleoside-diphosphate reductase complex [GO:0005971]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein folding chaperone [GO:0044183]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; 2'-deoxyribonucleotide biosynthetic process [GO:0009265]; deoxyribonucleotide biosynthetic process [GO:0009263]; nucleobase-containing small molecule interconversion [GO:0015949]; ribonucleoside diphosphate metabolic process [GO:0009185]	2'-deoxyribonucleotide biosynthetic process [GO:0009265]; deoxyribonucleotide biosynthetic process [GO:0009263]; nucleobase-containing small molecule interconversion [GO:0015949]; ribonucleoside diphosphate metabolic process [GO:0009185]	cytosol [GO:0005829]; ribonucleoside-diphosphate reductase complex [GO:0005971]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein folding chaperone [GO:0044183]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]	GO:0004748; GO:0005524; GO:0005829; GO:0005971; GO:0009185; GO:0009263; GO:0009265; GO:0015949; GO:0042802; GO:0044183
P00490	reviewed	Maltodextrin phosphorylase (EC 2.4.1.1)	malP b3417 JW5689	Escherichia coli (strain K12)	797	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glycogen phosphorylase activity [GO:0008184]; maltodextrin phosphorylase activity [GO:0031220]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]; alpha-glucan catabolic process [GO:0030980]; glycogen catabolic process [GO:0005980]	alpha-glucan catabolic process [GO:0030980]; glycogen catabolic process [GO:0005980]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	glycogen phosphorylase activity [GO:0008184]; maltodextrin phosphorylase activity [GO:0031220]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]	GO:0005737; GO:0005829; GO:0005980; GO:0008184; GO:0030170; GO:0030980; GO:0031220; GO:0042803
P00509	reviewed	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	aspC b0928 JW0911	Escherichia coli (strain K12)	396	cytoplasm [GO:0005737]; cytosol [GO:0005829]; identical protein binding [GO:0042802]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; L-tyrosine-2-oxoglutarate transaminase activity [GO:0004838]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]; L-phenylalanine biosynthetic process [GO:0009094]; L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]	L-phenylalanine biosynthetic process [GO:0009094]; L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	identical protein binding [GO:0042802]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; L-tyrosine-2-oxoglutarate transaminase activity [GO:0004838]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]	GO:0004069; GO:0004838; GO:0005737; GO:0005829; GO:0009094; GO:0030170; GO:0033585; GO:0042802; GO:0042803
P00579	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD alt b3067 JW3039	Escherichia coli (strain K12)	613	cytosol [GO:0005829]; cytosolic DNA-directed RNA polymerase complex [GO:0000345]; sigma factor antagonist complex [GO:1903865]; DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription initiation [GO:2000142]; response to heat [GO:0009408]	DNA-templated transcription initiation [GO:0006352]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription initiation [GO:2000142]; response to heat [GO:0009408]	cytosol [GO:0005829]; cytosolic DNA-directed RNA polymerase complex [GO:0000345]; sigma factor antagonist complex [GO:1903865]	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]	GO:0000345; GO:0003677; GO:0005829; GO:0006352; GO:0009408; GO:0016987; GO:0045892; GO:1903865; GO:2000142
P00634	reviewed	Alkaline phosphatase (APase) (EC 3.1.3.1)	phoA b0383 JW0374	Escherichia coli (strain K12)	471	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]; alkaline phosphatase activity [GO:0004035]; hydrogenase (acceptor) activity [GO:0033748]; magnesium ion binding [GO:0000287]; oxidoreductase activity, acting on phosphorus or arsenic in donors [GO:0030613]; phosphoprotein phosphatase activity [GO:0004721]; zinc ion binding [GO:0008270]; protein dephosphorylation [GO:0006470]	protein dephosphorylation [GO:0006470]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]	alkaline phosphatase activity [GO:0004035]; hydrogenase (acceptor) activity [GO:0033748]; magnesium ion binding [GO:0000287]; oxidoreductase activity, acting on phosphorus or arsenic in donors [GO:0030613]; phosphoprotein phosphatase activity [GO:0004721]; zinc ion binding [GO:0008270]	GO:0000287; GO:0004035; GO:0004721; GO:0006470; GO:0008270; GO:0030288; GO:0030613; GO:0033748; GO:0042597
P00722	reviewed	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ b0344 JW0335	Escherichia coli (strain K12)	1024	beta-galactosidase complex [GO:0009341]; alkali metal ion binding [GO:0031420]; beta-galactosidase activity [GO:0004565]; carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; lactose catabolic process [GO:0005990]	lactose catabolic process [GO:0005990]	beta-galactosidase complex [GO:0009341]	alkali metal ion binding [GO:0031420]; beta-galactosidase activity [GO:0004565]; carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0004565; GO:0005990; GO:0009341; GO:0030246; GO:0031420; GO:0042802
